CharID,Phase,Branch,Count,Face,Content
Narration,0,0,1,0,"옛날 어느 한 농장… 존스는 젋은 날 농장을 크게 키워 많은 돈을 벌었으나 시간이 흘러 술에 빠지게 되었고, 지금의 그는 술주정뱅이에다가 서서히 빚이 쌓여가는 빚쟁이였다."
Narration,0,0,2,0,그는 술에 취하면 동물들을 괴롭히거나 먹이를 안 주는 등 악덕농장주였다.
Narration,0,0,3,0,"그러던 달 밝은 밤, 농장의 정신적 지주인 '메이져'라는 돼지가 농장의 동물들을 모았다."
Major,0,0,4,0,"친애하는 동물 여러분, 오늘 제가 여러분들을 모은 까닭은 지난 밤 꾸었던 꿈에 대해 제가 더 늦기 전에 동지들께 말하고 싶어서 입니다."
Major,0,0,5,0,"동지들, 지금 우리는 어떤 삶을 살고 있소? 우리는 비참하고, 고되며, 너무 짧소. 우리는 왜 이렇게 비참하게 살아야하는 겁니까? 그건 바로 '인간'들 때문입니다."
Major,0,0,6,0,태어나면 겨우 죽지 않을 만큼 얻어먹고 살지. 일을 할 수 있는 동물들을 마지막 힘까지 쥐어짜며 일을 하다가 늙어 쓸모 없어지면 곧바로 도살 당하는 비참한 삶이오.
Major,0,0,7,0,젖소 동지들이 만든 많은 우유들은 모두 어디로 갔소? 저기 암탉 동지들이 낳은 수많은 알들은 다 어디로 갔소? 우리 농장의 수많은 동물들이 낳은 새끼들은 다 어디로 갔소?
Major,0,0,8,0,이 모든 것이 다 존스 지갑의 돈이 되었소. 물론 나도 지금까지 살아오면서 많은 새끼들을 두었지만 대부분은 도살장에 끌려가 잔인하게 생을 마감했지. 우리는 모두 그렇게 죽게 될 것이오.
Major,0,0,9,0,그렇기에 우리 삶의 모든 불행은 인간의 욕심에서 비롯되는 것이 아니겠소? 인간을 이 농장에서 몰아내고 나면 우리 노동의 대가는 온전히 우리의 것이 될 것 이오.
Major,0,0,10,0,우리는 고되게 일을 안 해도 되며 지금에서 조금만 더 적게 일하고 더 많은 것을 누릴 수 잇단 말이오.  그래서 우리가 꼭 해야 될 것… 그것은 바로 ‘반란’ 이오. 
Major,0,0,11,0,"하지만 명심하십시오, 존스를 몰아내도 인간들의 욕심을 본받으면 안됩니다. 우리 동물들은 모두 형제입니다. 크든 작든 똑똑하든 단순하든 털이 있든 깃털이 있든 모든 동물들은 항상 평등합니다."
Major,0,0,12,0,만약 우리의 투쟁이 성공하고 나면 간악한 인간들은 새빨간 거짓말을 하며 우리들을 유혹하려 할것이오. 인간들은 자기의 이익만 추구하니 결코 우리의 권리를 생각하지 않을 거요. 
Major,0,0,13,0,"모든 인간은 적이고, 모든 동물은 동지요."
Narration,0,0,14,0,농장의 동물들은 메이져의 연설에 감명을 받고 그가 부른 혁명의 노래를 따라 부르기 시작했다…
Rat,0,0,15,0,"풍차에서 주변을 둘러보다 봤는데, 인간들이 단합하여 몰려오는 것 같아요!"
Napoleon,0,0,16,0,빨리 막을 준비를 해겠군 …! 안그러면 농장을 빼앗기겠어.
Squaler,1,0,1,0,막아냈다! 해냈다! 이게 다 우리 돼지들이 잘 지휘해서 그렇습니다~!!
Napoleon,1,0,2,0,"그렇지, 우리 돼지들이 지휘해주지 않았다면 이길 수 없었을거야. "
Squaler,1,0,3,0,암요~! 그렇구 말고요~!
